Company legal name,Company name,Bud,additional Buds,Regex,additional Regex,Symbols[market_name],OHCHR25/UN/2025-09-26,OHCHR23/UN/2023-06-30,UNSR_OPT/UN/2025-01-01,DBIO/NGO/2024-01-01,TEST/FREEPORTS/2025-01-01
Rotshtein Real Estate Ltd,Rotshtein Real Estate,rotshtein real estate,rotshtein,\brotshtein real estate\b,,,1,0,0,0,0
S.A.G. (Velvel) Building & Development Ltd.,S.A.G. Building & Development,sag building,sag development | velvel,\bsag building\b,,,1,0,0,0,0
Salomon A. Angel Ltd,Angel Bakeries Ltd,angel bakeries,salomon,\bangel bakeries\b,,ANGL,1,1,0,0,0
Sarfati Shimon Ltd.,Sarfati Shimon,sarfati,shimon,\bsarfati\b,,,1,0,0,0,0
"Shahar Co. – Civil Engineering, Construction and
Infrastructure Company Ltd",Shahar Co,shahar,,\bshahar\b,,,1,0,0,0,0
Shalgal Food Ltd,Shalgal Food,shalgal,,\bshalgal\b,,,1,1,0,0,0
Shapir Engineering and Industry Ltd,Shapir Engineering and Industry,shapir,,\bshapir\b,,SPEN,1,1,0,1,0
Shikun & Binui – Solel Boneh – Infrastructure Ltd.,Shikun & Binui Solel Boneh Infrastructure,shikun & binui,solel boneh,\bshikun & binui\b,,,1,0,0,0,0
Shikun & Binui Ltd,Shikun & Binui Ltd,shikun,,\bshikun\b,,SKBN,0,0,0,1,0
Shlomo Cohen Construction Company Ltd.,Shlomo Cohen Construction Company,shlomo,,\bshlomo\b,,,1,0,0,0,0
Shoham Engineering and Development Ltd.,Shoham Engineering and Development,shoham,,\bshoham\b,,,1,0,0,0,0
Shufersal Ltd,Shufersal,,,,,SAE | SHUFF[2],1,1,0,1,0
Siemens AG,Siemens,,,\bsiemens\b,,SIE,0,0,0,1,1
"Sociedad Espanola De Montajes Industriales S.A.
(SEMI)",Sociedad Espanola De Montajes Industriales,sociedad espanola,semi,\bsociedad espanola\b,,,1,0,0,0,0
Sonol Israel Ltd,Sonol Israel,sonol,,\bsonol\b,,,1,1,0,0,0
Steconfer S.A.,Steconfer,,,,,,1,0,0,0,0
Superbus Ltd,Superbus,,,,,,1,1,0,0,0
Supergum Industries 1969 Ltd,Supergum Industries,supergum,,\bsupergum\b,,,1,1,0,0,0
Syensqo SA,Syensqo SA,syensqo,,\bsyensqo\b,,SYENS,0,0,0,1,0
Tahal Group International BV,Tahal Group,tahal,,\btahal\b,,,0,1,0,0,0
The Caisse de dépôt et placement du Québec,The Caisse de dépôt et placement du Québec,caisse de,the caisse de depot et placement du quebec | caisse de depot,\bcaisse de\b,,,0,0,1,0,1
The Coca-Cola Company,The Coca-Cola Company,coca,,coca-?cola (co\.?)?,,KO,0,0,0,1,0
TKH Group NV,TKH Group,,,,,TWEKA,0,0,0,1,0
Tnuva Central Cooperative for the Marketing of Agricultural Produce in Israel Ltd,Tnuva Central Cooperative for the Marketing of Agricultural Produce in Israel,tnuva,,\btnuva\b,,,0,0,0,1,0
Traton SE,Traton S.E,traton,,\btraton\b,,,0,0,0,1,0
TripAdvisor Inc,TripAdvisor,,,,,TRIP | TRIP[2],1,1,0,1,0
TUI AG,TUI AG,,tui group,,,TUI,0,0,0,1,0
Twitoplast Ltd,Twitoplast,,,,,,1,1,0,0,0
Unikowsky Maoz Ltd,Unikowsky Maoz,unikowsky,maoz,\bunikowsky\b,,,1,1,0,0,0
Villar International Ltd,Villar International,villar,,\bvillar\b,,VILR,1,1,0,1,0
VINCI SA,Vinci SA,vinci,,\bvinci\b,,DG,0,0,0,1,0
Volvo Car Corporation,Volvo Car Corp,volvo,,\bvolvo\b,,VOLV | VLVLY[2],0,0,1,1,1
WSP Global Inc,WSP Global,wsp,,\bwsp\b,,WSP,0,0,0,1,0
"Y.A.Z (Yaaz) – Construction and Development
Company Ltd.","Y.A.Z Construction and Development
Company",yaz construction,yaaz,\byaz construction\b,,,1,0,0,0,0
Y.D. Barazani Ltd.,Y.D. Barazani,barazani,,\bbarazani\b,,,1,0,0,0,0
Yacobi Brothers Group (YSB) Ltd.,Yacobi Brothers Group,yacobi brothers,ysb,\byacobi brothers\b,,,1,0,0,0,0
Yes TV and Communications Services Ltd,Yes TV and Communications Services,yes tv,,\byes tv\b,,,1,0,0,0,0
Z.F. Building Company Ltd,Z.F. Building Company,zf building,zf company,zf (building)? (company)?,,,1,0,0,0,0
Zakai Agriculture Know-how and inputs Ltd,Zakai Agriculture Know-how and inputs,zakai,,\bzakai\b,,,1,1,0,0,0
ZF Development and Construction,ZF Development and Construction,zf development,zf construction,\bzf development\b,,,1,1,0,0,0
ZMH Hammerman Ltd,ZMH Hammerman,zmh,hammerman,\bzmh\b,,ZMH,1,1,0,0,0
Zriha Hlavin Industries Ltd,Zriha Hlavin Industries,zriha,hlavin,\bzriha\b,,,1,1,0,0,0
Israel Government International Bonds,Israel Government International,,,,,,0,0,0,0,1
Israel Government Bonds,Israel Government,,,,,,0,0,0,0,1
Italy btps,Italy btps,,,,,,0,0,0,0,1
Blackrock Inc,Blackrock,,,,,,0,0,0,0,1
